full_name,e,q,i,om,w,ad,tp_cal,per_y,class,data_arc,condition_code,n_obs_used,two_body,A1,A2,A3,DT,M1,K1,M2,K2,PC,diameter,extent,albedo,rot_per,GM
"  198P/ODAS",.447693987249963,1.979103746835186,1.349847655061643,358.7441848672781,69.06401611221352,5.187588996489664,20050503.0359225,6.78330565700272,JFc,7315,2,200,,,1.080663582206968E-8,-2.155248695317437E-8,,15.8,4.5,,,,,,,,
"  199P/Shoemaker 4",.5069585464474292,2.935943057082458,24.76774202006649,92.94599628072754,191.9452850862831,8.973575040950699,20090410.0428922,14.5313007673682,JFc,5671,0,630,,,,,,7.7,15.25,,,,,,,,
"  200P/Larsen",.3332287901715139,3.272173787212286,12.12106251376573,234.8187682207246,133.6966081814261,6.54280844051164,20080825.0216141,10.8717006351451,JFc,8082,0,604,,,,,,7.0,17.25,14.1,5.,0.03,,,,,
"  201P/LONEOS",.6128609829851979,1.339983667105315,7.036519436200648,35.28566777420284,24.95396025367818,5.582509846660471,20150114.3345179,6.43957261765447,JFc,4998,0,865,,,,,,13.0,15.25,16.7,5.,0.03,,,,,
"  202P/Scotti",.3303012773438401,2.526534625689894,2.18541120385516,194.5869625815684,255.6483530517492,5.018752651159461,20090207.5004742,7.3278551864786,JFc,31889,0,414,,-2.670524608577215E-9,1.808137543258535E-10,,,15.9,5.25,,,,,,,,
"  203P/Korlevic",.316024368232641,3.182920963952992,2.973838960534847,290.5240098537827,154.7124005975655,6.124197056402449,20100208.9853761,10.0388979718467,JFc,7856,0,1160,,8.413408319557442E-8,2.483473872461039E-8,,,12.9,6.25,,,,,,,,
"  204P/LINEAR-NEAT",.4705292856803756,1.94022552378914,6.581223054156699,109.1066323962714,355.0405750227104,5.388699273429722,20081209.2749365,7.01493428287631,JFc,5315,2,1238,,1.134890891581078E-9,-2.053619892346616E-10,,,15.9,4.5,,,,,,,,
"  205P/Giacobini",.5686950646497007,1.527121244608701,15.30550506835132,179.6179218162154,154.2642271258146,5.554278106263072,20080910.0691277,6.66257082930665,JFc,2680,1,524,,,5.834395624843058E-9,,,14.6,7.5,,,,,,,,
"  205P/Giacobini-A",.568714327637854,1.526450001972009,15.30462698794076,179.6299185991975,154.219453037641,5.552152881409961,20080910.0428953,6.65862461283462,JFc,163,4,1143,,1.379092974617826E-8,-1.715887567924681E-8,,,12.0,17.,15.7,5.,0.03,,,,,
"  205P/Giacobini-B",.5753279137768729,1.530213038690974,15.40528193605396,179.5073325093614,154.0793970125158,5.676349805126287,20080909.7638931,6.83999014591284,JFc,19,9,66,,7.838648189527286E-6,-2.395403737244474E-7,,,18.5,10.,,,,,,,,
"  205P/Giacobini-C",0.5687302569766289339625,1.5266815023710049725735,15.308543661944190361623,179.6270623155098,154.2717704299316,5.553256411512614,20080910.2539860,6.66050843501621,JFc,40927,3,66,,6.25202759905467E-9,2.271900440689285E-10,,,,,,,,,,,,
"  206P/Barnard-Boattini",.6485340716298722,1.136482170391982,33.20383224666092,204.3764784165238,181.3610529059079,5.330615085164214,20081024.0466316,5.81469978652238,JFc,42448,2,284,,,,,,20.3,10.,,,,,,,,
