,id,ra,dec,mag,name_bayer,name_bayer_full,name_english,name_flamsteed_full
5663,135402,228.39583333333337,38.264722222222225,6.2,-,-,-,-
5664,135438,228.52499999999998,31.78805555555556,5.99,-,-,-,-
5665,135482,228.79583333333335,4.939444444444445,5.33,-,-,-,3-Ser
5666,135502,228.6208333333333,29.164166666666667,5.26,χ,χ-Boo,-,48-Boo
5667,135530,228.54166666666666,42.171388888888885,6.13,-,-,-,-
5668,135534,229.09583333333336,-22.399444444444445,5.5,-,-,-,-
5669,135559,228.95416666666668,0.3722222222222222,5.63,-,-,-,4-Ser
5670,135591,229.70000000000002,-60.49638888888889,5.46,-,-,-,-
5671,135722,228.875,33.31472222222222,3.47,δ,δ-Boo,-,49-Boo
5672,135730,229.5375,-41.06083333333333,6.28,-,-,-,-
5673,135734,229.63333333333335,-47.875,4.27,μ,μ-Lup,-,-
5674,135737,230.16666666666666,-67.48138888888889,6.28,-,-,-,-
5675,135742,229.24999999999997,-9.383055555555556,2.61,β,β-Lib,Zubeneschamali,27-Lib
5676,135758,229.45416666666668,-30.148888888888887,4.34,-,-,-,2-Lup
5677,135876,229.73333333333338,-40.788333333333334,5.59,-,-,-,-
5678,135896,229.67083333333332,-31.209444444444443,6.18,-,-,-,-
5679,136014,229.87916666666666,-37.09666666666667,6.2,-,-,-,-
5680,136028,229.60833333333335,-0.4613888888888889,5.89,-,-,-,-
5681,136064,228.65833333333333,67.34666666666666,5.13,-,-,-,-
5682,136138,229.6,20.572777777777777,5.7,-,-,-,-
5683,136174,228.71249999999998,68.94527777777778,6.51,-,-,-,-
5684,136202,229.825,1.7652777777777777,5.06,-,-,-,5-Ser
5685,136298,230.34166666666664,-40.6475,3.22,δ,δ-Lup,-,-
5686,136334,230.39583333333334,-40.749722222222225,6.2,-,-,-,-
5687,136347,230.375,-38.219166666666666,6.48,-,-,-,-
5688,136351,230.53333333333333,-47.92777777777778,5.0,ν¹,ν¹-Lup,-,-
5689,136352,230.45000000000002,-48.31777777777778,5.65,ν²,ν²-Lup,-,-
5690,136359,230.79166666666669,-60.65694444444444,5.67,-,-,-,-
5691,136366,230.22083333333333,-18.15861111111111,6.17,-,-,-,28-Lib
5692,136403,229.875,32.515277777777776,6.32,-,-,-,-
5693,136407,230.25416666666663,-15.548333333333334,6.3,ο,ο-Lib,-,29-Lib
5694,136415,230.84166666666664,-59.32083333333334,4.51,γ,γ-Cir,-,-
5695,136422,230.45000000000002,-36.26138888888889,3.56,φ¹,φ¹-Lup,-,-
5696,136442,230.19583333333333,-2.413333333333333,6.35,-,-,-,-
5697,136479,230.27916666666664,-5.824722222222222,5.54,-,-,-,-
5698,136504,230.66666666666666,-44.68944444444444,3.37,ε,ε-Lup,-,-
